iter	Passed	Remaining
0	179	178901
1	181	90640
2	188	62488
3	189	47301
4	191	38141
5	193	32004
6	194	27605
7	196	24304
8	197	21715
9	198	19645
10	215	19386
11	219	18075
12	220	16764
13	221	15625
14	222	14630
15	223	13757
16	224	12987
17	225	12302
18	226	11689
19	227	11138
20	228	10639
21	229	10186
22	230	9771
23	231	9426
24	232	9080
25	233	8757
26	234	8456
27	235	8177
28	236	7916
29	237	7673
30	238	7446
31	239	7233
32	240	7034
33	240	6845
34	241	6667
35	245	6578
36	246	6423
37	247	6272
38	248	6127
39	249	5989
40	250	5858
41	251	5735
42	252	5616
43	253	5502
44	254	5393
45	255	5289
46	255	5189
47	260	5158
48	261	5073
49	262	4984
50	263	4897
51	264	4814
52	264	4733
53	265	4656
54	266	4583
55	267	4512
56	268	4442
57	269	4375
58	270	4310
59	271	4248
60	275	4235
61	276	4177
62	277	4120
63	277	4065
64	278	4011
65	279	3958
66	280	3907
67	281	3851
68	281	3803
69	282	3756
70	283	3711
71	284	3667
72	285	3624
73	286	3582
74	290	3579
75	291	3544
76	292	3505
77	293	3467
78	294	3430
79	295	3393
80	295	3357
81	296	3322
82	297	3289
83	298	3255
84	299	3219
85	299	3188
86	300	3153
87	303	3144
88	305	3126
89	306	3097
90	307	3069
91	308	3041
92	308	3013
93	309	2986
94	310	2960
95	311	2934
96	312	2909
97	313	2884
98	314	2860
99	315	2836
100	316	2812
101	316	2785
102	318	2773
103	319	2752
104	320	2730
105	321	2709
106	322	2688
107	322	2667
108	323	2647
109	324	2626
110	325	2607
111	326	2587
112	327	2568
113	328	2550
114	328	2531
115	332	2533
116	333	2518
117	334	2500
118	335	2481
119	336	2464
120	336	2447
121	337	2431
122	338	2411
123	339	2395
124	339	2379
125	340	2363
126	341	2348
127	342	2331
128	343	2316
129	344	2302
130	347	2308
131	348	2294
132	349	2280
133	350	2266
134	351	2252
135	352	2238
136	353	2225
137	353	2210
138	354	2197
139	355	2185
140	356	2172
141	357	2162
142	359	2152
143	363	2160
144	364	2149
145	365	2137
146	366	2125
147	367	2114
148	368	2102
149	368	2090
150	369	2079
151	370	2068
152	371	2057
153	373	2049
154	374	2040
155	381	2065
156	383	2059
157	384	2050
158	386	2041
159	387	2033
160	393	2049
161	394	2040
162	395	2032
163	396	2023
164	398	2014
165	399	2006
166	400	1998
167	401	1990
168	403	1981
169	407	1987
170	408	1978
171	409	1968
172	409	1959
173	410	1949
174	411	1940
175	412	1931
176	413	1921
177	414	1913
178	415	1904
179	416	1895
180	416	1884
181	417	1875
182	418	1867
183	422	1874
184	423	1866
185	424	1857
186	425	1849
187	426	1841
188	427	1833
189	428	1826
190	429	1819
191	430	1811
192	431	1803
193	432	1795
194	433	1787
195	436	1788
196	438	1786
197	439	1779
198	440	1772
199	441	1767
200	442	1760
201	443	1752
202	444	1745
203	445	1737
204	446	1730
205	447	1723
206	447	1716
207	448	1709
208	450	1706
209	451	1700
210	452	1693
211	453	1686
212	454	1680
213	455	1673
214	456	1666
215	457	1660
216	458	1653
217	459	1646
218	459	1640
219	460	1633
220	463	1634
221	466	1635
222	467	1629
223	468	1624
224	472	1629
225	473	1623
226	474	1616
227	475	1610
228	476	1604
229	480	1608
230	518	1724
231	519	1719
232	520	1713
233	521	1707
234	522	1702
235	528	1710
236	529	1704
237	530	1698
238	535	1704
239	546	1730
240	549	1730
241	550	1724
242	551	1717
243	552	1711
244	553	1704
245	554	1698
246	555	1692
247	555	1685
248	556	1679
249	560	1682
250	561	1676
251	563	1672
252	564	1666
253	565	1660
254	566	1654
255	567	1647
256	567	1641
257	568	1635
258	569	1629
259	570	1623
260	572	1620
261	573	1615
262	574	1609
263	575	1603
264	576	1597
265	576	1591
266	577	1586
267	578	1580
268	579	1574
269	580	1569
270	589	1585
271	590	1581
272	591	1575
273	592	1570
274	593	1564
275	594	1559
276	595	1553
277	596	1549
278	601	1554
279	602	1548
280	603	1543
281	604	1538
282	604	1532
283	605	1527
284	606	1522
285	607	1516
286	609	1513
287	614	1518
288	616	1515
289	617	1511
290	618	1507
291	620	1503
292	621	1499
293	622	1494
294	623	1490
295	624	1486
296	626	1482
297	628	1481
298	629	1476
299	631	1472
300	632	1468
301	633	1465
302	634	1460
303	640	1466
304	641	1461
305	642	1456
306	643	1452
307	644	1447
308	644	1442
309	645	1437
310	646	1433
311	647	1428
312	648	1423
313	649	1418
314	650	1414
315	654	1417
316	656	1413
317	657	1409
318	657	1404
319	658	1400
320	659	1395
321	660	1391
322	661	1386
323	662	1382
324	663	1377
325	664	1373
326	665	1369
327	668	1369
328	670	1366
329	670	1362
330	671	1357
331	672	1353
332	673	1349
333	674	1345
334	675	1340
335	676	1336
336	677	1332
337	678	1328
338	679	1323
339	679	1319
340	682	1318
341	683	1315
342	684	1312
343	685	1307
344	686	1303
345	687	1300
346	688	1296
347	689	1291
348	690	1287
349	691	1283
350	692	1279
351	692	1275
352	693	1271
353	694	1267
354	697	1266
355	699	1264
356	699	1260
357	700	1256
358	701	1253
359	702	1249
360	703	1245
361	704	1241
362	705	1237
363	706	1234
364	707	1230
365	708	1226
366	708	1222
367	709	1219
368	712	1217
369	713	1215
370	714	1211
371	715	1208
372	716	1204
373	717	1201
374	718	1197
375	719	1194
376	720	1190
377	721	1186
378	722	1183
379	723	1179
380	723	1176
381	724	1172
382	727	1172
383	728	1169
384	729	1166
385	730	1162
386	731	1158
387	732	1155
388	733	1152
389	734	1148
