iter	Passed	Remaining
0	194	194016
1	196	97960
2	201	66888
3	203	50708
4	205	40914
5	207	34394
6	226	32144
7	229	28396
8	233	25712
9	235	23359
10	238	21400
11	240	19772
12	243	18513
13	246	17328
14	259	17010
15	261	16052
16	265	15368
17	268	14636
18	270	13972
19	286	14025
20	288	13444
21	290	12909
22	292	12422
23	297	12102
24	300	11726
25	302	11338
26	304	10978
27	306	10644
28	308	10334
29	314	10160
30	316	9888
31	318	9632
32	320	9390
33	349	9919
34	351	9682
35	353	9459
36	355	9248
37	357	9047
38	364	8987
39	367	8813
40	369	8639
41	371	8472
42	376	8377
43	378	8232
44	380	8084
45	383	7944
46	454	9224
47	459	9109
48	466	9044
49	474	9018
50	477	8880
51	481	8779
52	485	8677
53	488	8560
54	490	8434
55	496	8361
56	498	8241
57	500	8123
58	557	8888
59	559	8768
60	573	8833
61	576	8714
62	578	8596
63	584	8544
64	586	8435
65	589	8336
66	591	8234
67	593	8133
68	606	8186
69	608	8088
70	618	8087
71	649	8367
72	651	8270
73	653	8175
74	655	8082
75	657	7992
76	669	8028
77	671	7942
78	674	7857
79	679	7809
80	681	7728
81	683	7649
82	684	7559
83	686	7484
84	688	7415
85	711	7558
86	713	7484
87	715	7412
88	717	7341
89	719	7277
90	721	7209
91	724	7149
92	726	7084
93	728	7020
94	730	6959
95	732	6899
96	734	6838
97	736	6782
98	738	6724
99	740	6667
100	834	7432
101	837	7369
102	839	7307
103	841	7247
104	843	7188
105	845	7129
106	850	7096
107	853	7045
108	855	6990
109	858	6942
110	860	6889
111	865	6859
112	867	6811
113	869	6760
114	871	6709
115	873	6659
116	917	6922
117	919	6870
118	922	6826
119	971	7124
120	973	7075
121	975	7020
122	980	6990
123	982	6940
124	984	6890
125	986	6843
126	987	6791
127	989	6743
128	994	6714
129	996	6669
130	998	6623
131	1016	6682
132	1018	6636
133	1027	6641
134	1029	6596
135	1031	6552
136	1033	6508
137	1037	6482
138	1040	6447
139	1043	6408
140	1045	6367
141	1046	6321
142	1048	6281
143	1052	6257
144	1056	6232
145	1163	6804
146	1168	6778
147	1170	6739
148	1172	6697
149	1174	6656
150	1176	6615
151	1178	6575
152	1183	6551
153	1185	6514
154	1187	6475
155	1189	6437
156	1191	6399
157	1193	6361
158	1215	6431
159	1256	6596
160	1257	6554
161	1259	6516
162	1264	6491
163	1266	6456
164	1268	6419
165	1270	6383
166	1276	6368
167	1279	6335
168	1281	6300
169	1283	6265
170	1285	6231
171	1287	6197
172	1293	6181
173	1295	6149
174	1297	6116
175	1299	6085
176	1301	6052
177	1303	6020
178	1308	6001
179	1310	5972
180	1312	5940
181	1315	5913
182	1317	5881
183	1319	5850
184	1323	5832
185	1326	5804
186	1335	5804
187	1341	5792
188	1343	5762
189	1345	5734
190	1347	5705
191	1348	5677
192	1350	5648
193	1362	5661
194	1364	5633
195	1366	5606
196	1371	5589
197	1373	5563
198	1378	5548
199	1380	5521
200	1382	5494
201	1411	5574
202	1413	5547
203	1414	5520
204	1419	5505
205	1422	5481
206	1423	5454
207	1425	5429
208	1427	5403
209	1429	5378
210	1434	5363
211	1436	5340
212	1438	5315
213	1440	5290
214	1442	5266
215	1444	5242
216	1456	5254
217	1458	5230
218	1460	5206
219	1461	5183
220	1466	5170
221	1468	5147
222	1470	5124
223	1472	5101
224	1474	5078
225	1476	5056
226	1480	5043
227	1483	5022
228	1485	5000
229	1487	4978
230	1489	4957
231	1513	5010
232	1516	4990
233	1518	4969
234	1519	4947
235	1521	4926
236	1528	4919
237	1530	4900
238	1532	4879
239	1534	4860
240	1537	4842
241	1539	4822
242	1543	4809
243	1546	4792
244	1549	4776
245	1551	4756
246	1553	4736
247	1555	4716
248	1582	4772
249	1584	4752
250	1586	4732
251	1587	4713
252	1592	4702
253	1594	4683
254	1596	4665
255	1598	4646
256	1600	4628
257	1605	4617
258	1607	4599
259	1609	4580
260	1611	4562
261	1613	4544
262	1616	4529
263	1621	4521
264	1623	4503
265	1625	4485
266	1627	4468
267	1629	4451
268	1631	4433
269	1637	4425
270	1638	4408
271	1641	4393
272	1643	4376
273	1645	4359
274	1647	4342
275	1649	4327
276	1651	4311
277	1653	4295
278	1700	4394
279	1702	4377
280	1704	4361
281	1706	4344
